datetime,state,country
1960-09-05,NY,us
1960-09-10,KS,us
1960-09-15,TN,us
1960-09-15,WA,us
1960-10-10,HI,us
1960-11-02,NY,us
1960-11-11,WA,us
1960-11-15,KS,us
1961-01-01,CA,us
1961-01-01,IN,us
1961-02-02,CA,us
1961-02-22,TX,us
1961-04-01,PA,us
1961-04-15,OK,us
1961-05-01,WA,us
1961-06-01,UT,us
1961-06-15,AL,us
1961-06-15,TX,us
1961-06-15,OK,us
1961-06-17,IL,us
1961-06-20,MO,us
1961-06-30,NC,us
1961-06-30,FL,us
1961-06-30,CA,us
1961-06-30,TX,us
1961-07-01,GA,us
1961-07-15,OK,us
1961-07-15,PA,us
1961-07-15,WV,us
1961-07-15,OR,us
1961-07-16,IL,us
1961-08-01,CA,us
1961-08-05,PA,us
1961-08-05,PA,us
1961-08-09,IL,us
1961-08-15,NY,us
1961-08-30,OH,us
1961-09-01,OH,us
1961-09-15,NE,us
1961-10-01,OH,us
1961-10-01,OK,us
1961-10-01,TN,us
1961-10-01,NC,us
1961-10-10,TN,us
1961-10-15,FL,us
1961-11-11,CA,us
1961-11-26,SC,us
1961-12-26,TX,us
1962-01-01,FL,us
1962-02-19,NC,us
1962-03-01,WA,us
1962-03-03,UT,us
1962-03-15,OH,us
1962-03-31,PA,us
1962-05-15,NJ,us
1962-05-15,OK,us
1962-05-20,NJ,us
1962-05-30,TX,us
1962-06-01,OK,us
1962-06-01,PA,us
1962-06-01,CA,us
1962-06-01,CO,us
1962-06-01,IL,us
1962-06-14,NH,us
1962-06-15,WA,us
1962-06-15,IL,us
1962-06-16,WA,us
1962-06-25,NY,us
1962-06-30,CA,us
1962-06-30,CA,us
1962-06-30,MI,us
1962-06-30,NY,us
1962-07-01,IL,us
1962-07-01,WA,us
1962-07-04,TX,us
1962-07-07,OK,us
1962-07-10,NY,us
1962-07-15,NJ,us
1962-07-15,IL,us
1962-07-15,OH,us
1962-07-15,MO,us
1962-07-20,KY,us
1962-07-20,AR,us
1962-07-24,NY,us
1962-08-01,SC,us
1962-08-01,GA,us
1962-08-01,OR,us
1962-08-08,OH,us
1962-08-10,KS,us
1962-08-15,CO,us
1962-08-15,AK,us
1962-08-15,MI,us
1962-08-16,MA,us
1962-09-01,WA,us
1962-09-01,VA,us
1962-09-04,MO,us
1962-09-15,NC,us
1962-09-29,GA,us
1962-10-15,IL,us
1962-11-01,FL,us
1962-11-09,TX,us
1962-11-15,TX,us
1962-12-21,NY,us
1963-01-01,MT,us
1963-01-20,MA,us
1963-02-21,NJ,us
1963-03-15,WA,us
1963-04-01,AZ,us
1963-04-07,FL,us
1963-04-10,PA,us
1963-04-20,VA,us
1963-05-07,MA,us
1963-05-15,NY,us
1963-05-15,MD,us
1963-05-30,KS,us
1963-06-01,FL,us
1963-06-01,MO,us
1963-06-01,TX,us
1963-06-01,NC,us
1963-06-01,TX,us
1963-06-01,KY,us
1963-06-01,IL,us
1963-06-01,MI,us
1963-06-01,CA,us
1963-06-01,CA,us
1963-06-01,CO,us
1963-06-11,WI,us
1963-06-15,FL,us
1963-06-15,CT,us
1963-06-15,WA,us
1963-06-15,AR,us
1963-06-15,CA,us
1963-06-15,MI,us
1963-06-15,GA,us
1963-06-30,PA,us
1963-06-30,TX,us
1963-06-30,UT,us
1963-06-30,CA,us
1963-07-01,NY,us
1963-07-01,AR,us
1963-07-01,MO,us
1963-07-01,MO,us
1963-07-02,AZ,us
1963-07-03,ME,us
1963-07-10,IL,us
1963-07-11,MN,us
1963-07-14,NY,us
1963-07-15,MO,us
1963-07-15,MO,us
1963-07-15,VA,us
1963-07-15,OK,us
1963-07-15,CA,us
1963-07-15,OR,us
1963-07-17,MA,us
1963-07-20,MS,us
1963-08-01,NY,us
1963-08-01,CA,us
1963-08-01,WA,us
1963-08-10,CA,us
1963-08-12,OH,us
1963-08-15,MO,us
1963-08-20,WA,us
1963-08-23,NY,us
1963-08-25,MA,us
1963-10-03,NY,us
1963-10-04,VA,us
1963-10-09,MS,us
1963-10-20,IN,us
1963-12-10,GA,us
1964-01-10,CA,us
1964-01-25,NE,us
1964-03-29,CA,us
1964-03-30,VA,us
1964-04-03,FL,us
1964-04-15,KY,us
1964-04-15,MI,us
1964-04-15,WA,us
1964-05-01,CA,us
1964-05-05,CO,us
1964-05-10,KY,us
1964-05-15,VT,us
1964-05-15,AR,us
1964-05-15,CA,us
1964-06-01,TX,us
1964-06-01,OK,us
1964-06-01,CA,us
1964-06-05,NY,us
1964-06-09,MD,us
1964-06-10,CO,us
1964-06-10,IL,us
1964-06-14,NV,us
1964-06-15,FL,us
1964-06-15,MT,us
1964-06-15,OK,us
1964-06-15,TN,us
1964-06-15,MI,us
1964-06-15,TX,us
1964-06-15,LA,us
1964-06-19,AZ,us
1964-06-28,VA,us
1964-06-29,GA,us
1964-06-30,MI,us
1964-06-30,WA,us
1964-06-30,IL,us
1964-07-01,NJ,us
1964-07-01,NE,us
1964-07-07,WI,us
1964-07-09,IL,us
1964-07-10,OH,us
1964-07-12,OR,us
1964-07-14,MT,us
1964-07-15,OH,us
1964-07-15,GA,us
1964-07-15,MO,us
1964-07-15,VA,us
1964-07-15,NV,us
1964-07-16,MI,us
1964-07-31,MA,us
1964-08-01,CT,us
1964-08-01,IL,us
1964-08-01,PA,us
1964-08-01,RI,us
1964-08-04,MA,us
1964-08-12,IL,us
1964-08-13,IL,us
1964-08-14,ME,us
1964-08-15,MO,us
1964-08-20,CA,us
1964-08-20,FL,us
1964-08-22,AL,us
1964-09-01,CT,us
1964-09-05,NY,us
1964-09-15,UT,us
1964-09-15,NY,us
1964-09-15,WA,us
1964-09-15,SC,us
1964-09-15,CA,us
1964-09-20,IL,us
1964-09-30,DE,us
1964-10-05,OR,us
1964-10-15,OH,us
1964-10-20,LA,us
1964-10-20,MI,us
1964-11-12,VA,us
1964-11-15,TN,us
1964-11-15,TN,us
1964-11-22,TN,us
1965-01-01,IL,us
