Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,55.299999,55.750000,54.560001,54.889999,53.478470,5175700
2018-04-17,55.349998,55.490002,53.209999,54.270000,52.874424,8060000
2018-04-18,54.500000,56.520000,54.380001,55.820000,54.384560,6559900
2018-04-19,55.650002,55.700001,54.419998,54.799999,53.390793,4391500
2018-04-20,54.849998,55.209999,54.340000,54.770000,53.361561,5031700
2018-04-23,54.840000,55.540001,54.610001,54.980000,53.566162,4465500
2018-04-24,55.320000,55.380001,53.430000,53.880001,52.494450,3820000
2018-04-25,53.849998,54.139999,52.830002,53.830002,52.445732,5132400
2018-04-26,52.189999,53.790001,51.000000,53.299999,51.929359,9809800
2018-04-27,53.139999,53.869999,52.730000,53.529999,52.153446,4891400
2018-04-30,53.619999,53.779999,52.709999,52.830002,51.471451,8023200
2018-05-01,52.799999,53.209999,52.150002,52.939999,51.578617,4016100
2018-05-02,52.980000,53.400002,52.189999,52.209999,50.867393,6346400
2018-05-03,52.150002,52.540001,51.580002,52.240002,50.896622,4330800
2018-05-04,52.000000,53.099998,51.910000,52.779999,51.422733,4067800
2018-05-07,52.799999,52.939999,51.950001,52.000000,50.662792,5045500
2018-05-08,52.169998,53.070000,51.950001,52.330002,50.984310,6272400
2018-05-09,52.119999,52.400002,51.430000,51.560001,50.234112,4222300
2018-05-10,51.299999,52.189999,51.259998,51.939999,50.604336,6779700
2018-05-11,52.200001,52.680000,51.919998,52.459999,51.110966,4890500
2018-05-14,52.509998,52.740002,52.070000,52.200001,50.857651,7076300
2018-05-15,51.980000,52.090000,51.439999,51.700001,50.370518,5241200
2018-05-16,51.750000,53.369999,51.590000,53.009998,51.646816,5834700
2018-05-17,53.090000,53.610001,52.380001,52.470001,51.120705,6222700
2018-05-18,52.360001,53.020000,52.119999,52.189999,50.847908,6950400
2018-05-21,52.450001,52.840000,52.139999,52.220001,50.877136,7237000
2018-05-22,52.509998,52.669998,50.680000,50.849998,49.542370,9569000
2018-05-23,50.830002,50.869999,50.200001,50.320000,49.025993,7580500
2018-05-24,50.410000,51.520000,50.209999,51.209999,49.893105,8489900
2018-05-25,51.400002,53.450001,51.360001,52.860001,51.500675,9292300
2018-05-29,52.619999,52.799999,51.209999,51.490002,50.165909,7178100
2018-05-30,51.750000,51.840000,50.930000,51.330002,50.010025,5442200
2018-05-31,51.340000,51.799999,50.919998,51.080002,49.766449,7054100
2018-06-01,51.200001,51.540001,50.630001,50.959999,49.649532,5486900
2018-06-04,51.130001,52.080002,51.000000,51.650002,50.321796,5322600
2018-06-05,51.189999,51.400002,50.410000,50.900002,49.745178,4620100
2018-06-06,50.349998,50.830002,49.930000,50.750000,49.598579,7321700
2018-06-07,50.750000,50.959999,50.340000,50.639999,49.491081,5601800
2018-06-08,50.540001,50.820000,50.230000,50.480000,49.334709,4939500
2018-06-11,50.959999,51.970001,50.709999,50.980000,49.823360,9813600
2018-06-12,51.049999,51.169998,50.580002,50.970001,49.813591,8126800
2018-06-13,51.200001,51.880001,51.150002,51.349998,50.184967,6253200
2018-06-14,51.599998,52.070000,51.400002,51.939999,50.761585,5683900
2018-06-15,51.630001,52.430000,51.369999,52.180000,50.996143,8637100
2018-06-18,51.830002,52.509998,51.380001,52.369999,51.181828,5543400
2018-06-19,52.029999,52.090000,51.169998,51.709999,50.536800,4658900
2018-06-20,51.990002,52.029999,51.529999,52.000000,50.820221,7040900
2018-06-21,51.930000,53.240002,51.830002,53.150002,51.944134,8098300
2018-06-22,52.860001,53.540001,51.880001,51.910000,50.732265,9187400
2018-06-25,51.610001,51.860001,50.919998,51.279999,50.116554,7836600
2018-06-26,51.590000,51.590000,50.939999,51.169998,50.009052,4410900
2018-06-27,51.209999,51.230000,50.180000,50.369999,49.227207,6737900
2018-06-28,50.720001,50.980000,50.189999,50.700001,49.549717,4652900
2018-06-29,50.799999,51.450001,50.730000,50.880001,49.725639,4227700
2018-07-02,50.630001,51.590000,50.500000,51.540001,50.370655,5127500
2018-07-03,51.560001,52.070000,51.130001,51.520000,50.351112,2470400
2018-07-05,51.770000,52.049999,51.560001,51.860001,50.683399,4440900
2018-07-06,52.060001,53.040001,52.000000,52.740002,51.543434,5796700
2018-07-09,52.900002,53.520000,52.580002,53.259998,52.051632,4843600
2018-07-10,53.139999,53.200001,52.470001,53.000000,51.797535,3484000
2018-07-11,52.540001,52.660000,51.630001,52.529999,51.338200,5788300
2018-07-12,53.130001,53.220001,51.860001,52.770000,51.572750,4102600
2018-07-13,52.669998,53.250000,52.630001,53.090000,51.885494,3392100
2018-07-16,53.389999,53.490002,52.750000,53.080002,51.875725,3713800
2018-07-17,52.910000,53.720001,52.910000,53.220001,52.012547,3942600
2018-07-18,54.060001,55.230000,53.750000,53.900002,52.677116,7258400
2018-07-19,54.020000,54.099998,53.410000,53.779999,52.559837,4013500
2018-07-20,53.580002,53.869999,53.240002,53.430000,52.217781,4674400
2018-07-23,53.259998,53.709999,52.779999,53.560001,52.344830,3846100
2018-07-24,53.740002,53.750000,51.840000,51.910000,50.732265,5782100
2018-07-25,52.000000,52.619999,51.660000,52.290001,51.103645,5445700
2018-07-26,52.099998,56.880001,52.029999,56.700001,55.413589,11997000
2018-07-27,56.590000,58.430000,56.509998,58.380001,57.055477,8891400
2018-07-30,58.080002,58.430000,57.520000,57.900002,56.586361,5492200
2018-07-31,58.139999,59.330002,58.110001,58.160000,56.840469,5138600
2018-08-01,58.119999,58.340000,56.439999,56.520000,55.237671,4292400
2018-08-02,56.209999,56.759998,55.610001,56.689999,55.403816,3507500
2018-08-03,56.830002,57.490002,56.799999,57.410000,56.107483,3826900
2018-08-06,57.209999,57.919998,57.099998,57.790001,56.478863,2989000
2018-08-07,58.150002,58.639999,57.840000,58.090000,56.772053,2557900
2018-08-08,58.770000,59.330002,58.610001,58.820000,57.485489,4003800
2018-08-09,58.860001,59.279999,58.810001,58.990002,57.651630,2763500
2018-08-10,58.779999,59.090000,58.299999,58.990002,57.651630,3218700
2018-08-13,59.049999,59.369999,58.520000,58.840000,57.505039,2972900
2018-08-14,58.939999,59.840000,58.930000,59.090000,57.749371,3298100
2018-08-15,59.040001,60.480000,58.910000,60.330002,58.961235,6499100
2018-08-16,60.549999,60.959999,59.330002,59.520000,58.169609,5345000
2018-08-17,59.590000,59.830002,59.049999,59.680000,58.325977,3166000
2018-08-20,59.950001,62.049999,59.889999,61.630001,60.231743,6106000
2018-08-21,61.480000,62.200001,60.959999,61.000000,59.771202,4150800
2018-08-22,60.810001,61.000000,60.270000,60.610001,59.389065,2176900
2018-08-23,60.639999,61.330002,60.360001,61.009998,59.780998,3031900
2018-08-24,60.490002,61.070000,59.930000,60.990002,59.761410,2702000
2018-08-27,61.160000,61.380001,60.700001,60.910000,59.683018,2706700
2018-08-28,61.029999,61.529999,60.799999,61.330002,60.094555,4382000
2018-08-29,61.330002,61.560001,60.830002,61.220001,59.986778,3136500
2018-08-30,61.049999,61.410000,60.540001,60.820000,59.594833,3083500
2018-08-31,60.860001,61.750000,60.810001,61.299999,60.065159,3292300
2018-09-04,61.430000,62.549999,61.130001,61.990002,60.741264,5588200
2018-09-05,62.150002,62.740002,61.299999,61.400002,60.163147,4870600
2018-09-06,61.400002,61.750000,60.660000,61.029999,59.800594,2512500
2018-09-07,61.439999,62.709999,61.209999,61.900002,60.653076,3836500
